97; Guilherme Zampronio Alves; Desenvolvimento de instrumentacao para ressonancia magnetica nuclear; Engenharia Eletrica; TCC
83; Claudio Junior Araujo; Pos-tratamento fisico-quimico de efluentes de reatores anaerobios tratando esgoto; Engenharia Ambiental; TCC
71; Paulo Roberto da Cunha Estante; Proposta de metodo de engenharia de trafego com protecao de caminhos para redes MPLS; Informatica; Mestrado
72; Marcelo Cheminn Madruga; Uso de arquivos transparentes na construcao de um sistema de arquivos distribuido tolerante a faltas; Informatica; Mestrado
73; Carlos Augusto Henning Laurindo; Avaliacao da durabilidade em fadiga e do desempenho hidrodinamico de uma protese valvar cardiaca; Engenharia Mecanica; Mestrado
74; Camila Augusto Perussello; Estudo dos parametros de processo e modelagem numerica da secagem do residuo solido da producao do extrato hidrossoluvel de soja (Okara); Engenharia Mecanica; Mestrado
91; Anaisa Seneda Buzuti; Orientacao para realizacao de testes de mercado no segmento de bens de consumo; Engenharia de Producao Mecanica; TCC
75; Leonel Vinicius Jaeger Betti Junior; A funcao socioambiental e a ressignificacao reflexiva do direito a informacao para o consumo; Direito; Mestrado
78; Jose Guido Teixeira Junior; Fundamentos e parametros para a quantificacao dos danos morais e materiais decorrentes de acidentes do trabalho no setor sucroalcooleiro: uma analise juridica e socioeconomica; Direito; Mestrado
84; Marisley Hirinea de Almeida; Desenvolvimento de um software para avaliacao de desempenho do sistema optico em equipamento para retinografia digital; Informatica; TCC
79; Marcelo Rodrigo Kulka; Estudo da aplicacao dos conceitos LEAN em um sistema hibrido de planejamento e controle de producao (MRPII/JIT); Engenharia de producao e sistemas; Mestrado
80; Marcia Regina Krama; Analise dos indicadores de desenvolvimento sustentavel no Brasil, usando a ferramenta painel de sustentabilidade; Engenharia de producao e sistemas; Mestrado
5; Edson Damas da Silveira; Meio ambiente, terras indigenas e defesa nacional: direitos fundamentais em tensao nas fronteiras da Amazonia brasileira; Direito; Doutorado
6; Karlo Messa Vettorazzi; Solucoes de controversias ambientais individuais no ambito internacional; Direito; Mestrado
81; Bruno Davison Natale; Sistema de alimentacao de uma antena quadrifilar de meia espira e meio comprimento; Engenharia Eletrica; TCC
7; Lediane Rano Fernandes da Silva; Expropriacao de bens contribuinte pela administracao tributaria e direitos fundamentais relacionados com a atividade economica; Direito; Mestrado
85; Daniel Francisco de Assis; Desenvolvimento de recurso didatico empregando midia eletronica sobre padrao de compressao; Engenharia de Computacao; TCC
8; Fabio Sergio Sipioni; Modelo para revisao de indicadores de desempenho aplicado a processos de manufatura utilizando a integracao do balanced scorecard e bussiness process management; Engenharia de producao e sistemas; Mestrado
9; Allan Rodrigo Leite; Um esquema para reducao do consumo de combustivel em sistemas de conducao ferrea baseado em otimizacao distribuida de restricao; Informatica; Mestrado
10; Andre Pinz Borges; Descoberta de regras de conducao de trens de carga; Informatica; Mestrado
92; Rinaldo Brandolim; Sistema embarcado de ultra-som com doppler pulsado; Engenharia de Computacao; TCC
20; Sergio Luiz Barbosa Neves; Agencias reguladoras: instrumentos de direito economico e socioambiental em busca de uma identidade perante o direito positivo brasileiro; Direito; Mestrado
21; Solange Afonso de Lima; Funcoes economica e social do contrato administrativo: equilibrio economico-financeiro; Direito; Mestrado
22; Tallita Massucci Toledo; A saude mental do empregado como direito fundamental e sua eficacia na relacao empregaticia; Direito; Mestrado
